Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2017_q4,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2017,4,47,90,47,142
2019_q1,,Thyroid or Parathyroid Surgery,,Total,Provincial,2019,1,45,239,73,324
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"McGory,Rodney W",,,,,12,27,37,139
12month_rolling,Orthopaedic,Shoulder Surgery,"Legay, Douglas A",,,,,206,456,308,412
2018_q4,,Pilonidal Cyst Surgery,,Total,Provincial,2018,4,101,232,90,172
2018_q4,,Hysteroscopy,,Zone 4,Dartmouth General,2018,4,36,188,62,192
2019_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2019,4,157,237,171,306
12month_rolling,Thoracic Surgery,Gastric Surgery - Laparoscopic,"Plourde, Madelaine M",,,,,80,104,"1,135","1,239"
2018_q4,,Aneurysm Repair,,Zone 1,Valley Regional,2018,4,,,41,94
2018_q2,,Shoulder Arthroscopy,,Zone 4,QE2,2018,2,70,386,196,446
2018_q2,,Male Circumcision  (Pediatric),,Total,Provincial,2018,2,41,85,106,227
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Incisional,"Klassen, Dennis R",,,,,91,91,121,418
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Doyle, Ian M",,,,,,,244,417
12month_rolling,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2019,4,383,"3,241",40,68
3month_rolling,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2019,4,83,"1,002",160,415
2019_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Colchester East Hants Health Centre,2019,2,84,152,95,173
3month_rolling,,Strabismus Surgery  (Pediatric),,Total,Provincial,2019,4,101,176,166,207
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2019,4,62,199,51,155
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Chokshi, Rashmikant G",,,,,10,20,44,155
2017_q4,,Shoulder Arthroscopy,,Zone 4,QE2,2017,4,48,213,162,420
2018_q4,,Shoulder Arthroplasty,,Total,Provincial,2018,4,59,341,232,520
12month_rolling,Urology,Prostatectomy,"Lawen, Joseph G",,,,,,,21,35
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Sandland, Helen",,,,,41,53,23,57
12month_rolling,Dental,All,"MacIntosh, Alan B",,,,,183,365,199,330
12month_rolling,Orthopaedic,Knee Replacement,"Murphy, Nadia L",,,,,196,"1,092",443,516
12month_rolling,,Manipulation of Extremity,,Zone 2,Aberdeen Hospital,2019,4,,,21,164
2019_q3,,Breast Cancer Surgery,,Zone 1,Valley Regional,2019,3,13,94,29,44
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Joy, Edward",,,,,77,111,90,139
2018_q2,,Knee Replacement Revision,,Total,Provincial,2018,2,61,206,98,609
12month_rolling,,Otoplasty,,IWK,IWK,2019,4,88,207,252,445
2018_q2,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2018,2,31,132,39,60
2019_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Total,Provincial,2019,4,51,181,95,355
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Topp, Trevor J",,,,,146,259,122,224
12month_rolling,,Tendon / Ligament Repair,,Zone 3,Inverness Consolidated Memorial,2019,4,78,218,29,57
12month_rolling,General Surgery,Hernia Repair - Incisional,"Yaffe, Paul",,,,,83,111,44,71
2019_q1,,Head and Neck Surgery,,Total,Provincial,2019,1,21,91,34,224
2019_q2,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,2,35,62,40,66
2019_q1,,Cataract Surgery,,Zone 1,South Shore Regional,2019,1,50,97,64,125
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Taylor, S. Mark",,,,,15,49,31,58
2019_q4,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2019,4,9,35,73,114
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"Davies, Dafydd Alexander",,,,,5,6,30,79
2018_q2,,Knee Replacement Revision,,Zone 4,QE2,2018,2,,,110,706
12month_rolling,Urology,Bladder Cancer Surgery,"Himmelman, Jeffrey George",,,,,9,94,35,91
2018_q3,,Prostate Surgery,,Zone 3,Cape Breton Regional,2018,3,17,38,45,103
2018_q2,,Tear Duct Surgery,,Zone 4,QE2,2018,2,126,491,,
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Clifton, Neil",,,,,27,68,44,77
12month_rolling,General Surgery,Hernia Repair - Umbilical,"McKenney, Roderick",,,,,42,105,61,127
2019_q3,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2019,3,61,472,57,133
2017_q4,,Knee Scope with ACL Repair,,Total,Provincial,2017,4,52,141,83,229
2018_q1,,Hysteroscopy,,Zone 1,Yarmouth Regional,2018,1,26,63,26,49
2019_q1,,Hysteroscopy,,Zone 1,Valley Regional,2019,1,48,556,45,130
2018_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Colchester East Hants Health Centre,2018,1,33,90,85,172
2019_q1,,Cystoscopy,,Zone 3,Cape Breton Regional,2019,1,10,79,22,91
2018_q4,,Lacrimal Duct Probing,,Total,Provincial,2018,4,71,563,73,208
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"McKenney, Roderick",,,,,32,76,44,92
2018_q1,,Shoulder Arthroplasty,,Zone 4,QE2,2018,1,70,193,225,363
3month_rolling,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2019,4,19,27,22,35
2018_q3,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2018,3,25,99,58,237
2018_q2,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2018,2,26,48,49,139
2018_q2,,Lung Surgery,,Total,Provincial,2018,2,21,43,33,67
2018_q4,,Bowel Resection,,Zone 1,South Shore Regional,2018,4,21,55,17,37
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"MacFarlane, David",,,,,52,108,33,117
12month_rolling,Cardiac Surgery,All,"Ali, Idris M",,,,,,,10,44
12month_rolling,General Surgery,Male Reproductive System Surgery,"Pillai, Neelakantan G.",,,,,41,97,25,62
2019_q4,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2019,4,92,118,22,85
2019_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2019,1,12,25,64,83
12month_rolling,,Hernia Repair - Ventral,,Zone 1,Valley Regional,2019,4,,,125,135
2019_q2,,Gastric Surgery - Laparoscopic,,Total,Provincial,2019,2,84,216,57,401
2017_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2017,4,205,797,27,131
12month_rolling,Orthopaedic,All,"Logan, Karl John",,,,,22,100,83,214
2019_q1,,Male Reproductive System Surgery,,Zone 4,QE2,2019,1,83,260,67,251
2018_q3,,Brain Surgery  (Adult),,Zone 4,QE2,2018,3,65,301,26,113
12month_rolling,Otolaryngology (ENT),Septoplasty,"Curry, Philip L",,,,,141,484,71,352
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Legay, Douglas A",,,,,254,509,277,553
2018_q1,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2018,1,13,49,27,61
2017_q4,,Knee Replacement - Partial,,Total,Provincial,2017,4,125,463,170,448
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Johnston, David G",,,,,45,98,65,227
2019_q2,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2019,2,31,71,64,134
12month_rolling,General Surgery,Lymph Node Biopsy,"Butler, Clay K",,,,,7,14,49,63
2018_q3,,Orthopaedic Trauma,,Zone 4,QE2,2018,3,,,25,167
2018_q1,,Prostate Surgery,,Zone 1,Valley Regional,2018,1,47,199,54,190
12month_rolling,Orthopaedic,Knee Replacement Revision,"Orrell, Kevin G",,,,,61,92,39,69
2019_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Colchester East Hants Health Centre,2019,1,38,99,81,130
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Minor, Samuel",,,,,187,292,85,106
2019_q2,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2019,2,103,273,28,335
2019_q2,,Hernia Repair - Laparoscopic Ventral,,Total,Provincial,2019,2,83,157,,
2018_q3,,Foot - Bunionectomy,,Total,Provincial,2018,3,116,234,175,297
12month_rolling,General Surgery,Breast Cancer Surgery,"Archibald, Alison",,,,,7,28,16,27
2018_q2,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2018,2,,,36,96
2018_q4,,Septoplasty,,Zone 4,Dartmouth General,2018,4,73,364,135,406
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Butler, Clay K",,,,,30,292,31,90
2018_q2,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2018,2,44,209,85,238
2019_q1,,Shoulder Surgery,,Zone 4,QE2,2019,1,42,137,204,494
2018_q4,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2018,4,56,218,34,421
2017_q4,,Endarterectomy,,Zone 4,QE2,2017,4,,,61,249
2019_q3,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2019,3,31,65,20,67
12month_rolling,Urology,Female Incontinence Surgery,"Cox, Ashley",,,,,,,132,262
2019_q3,,Brain Surgery  (Pediatric),,IWK,IWK,2019,3,,,4,46
2017_q4,,Knee Scope,,Zone 2,Aberdeen Hospital,2017,4,92,147,113,216
2019_q3,,Shoulder Surgery,,Zone 4,QE2,2019,3,81,201,80,547
2017_q4,,Liver Surgery,,Zone 4,QE2,2017,4,12,25,23,73
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Blackmore, Christopher",,,,,19,47,128,136
2019_q2,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2019,2,91,168,63,107
2018_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2018,3,,,87,111
2018_q2,,Female Incontinence Surgery,,Zone 4,QE2,2018,2,,,123,246
2017_q4,,Knee Scope,,Zone 1,Valley Regional,2017,4,55,102,142,426
2018_q1,,Bladder Surgery,,Total,Provincial,2018,1,14,104,21,84
12month_rolling,Cardiac Surgery,Coronary Artery Bypass Graft,"Chedrawy, Edgar",,,,,,,21,85
2019_q3,,Hysteroscopy,,Zone 1,South Shore Regional,2019,3,23,193,21,49
2018_q3,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2018,3,27,92,69,94
2019_q3,,Lung Cancer Surgery,,Total,Provincial,2019,3,29,54,44,78
2018_q3,,Hernia Repair - Umbilical,,Zone 4,QE2,2018,3,109,171,86,254
2018_q1,,Hysteroscopy,,Zone 3,Northside General,2018,1,26,53,28,122
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Tynski, Gregory",,,,,203,265,156,406
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"Yepes, Horacio",,,,,59,112,54,116
2018_q3,,Cataract Surgery,,Zone 3,Glace Bay,2018,3,189,342,40,77
12month_rolling,General Surgery,Gallbladder Surgery,"MacFarlane, David",,,,,50,109,28,64
12month_rolling,Obstetrics/Gynaecology,All,"MacLellan, Erin",,,,,79,182,52,177
2019_q3,,Gastrointestinal Tract Surgery,,Zone 2,Aberdeen Hospital,2019,3,,,96,187
2018_q4,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2018,4,15,60,13,41
3month_rolling,,Vascular Bypass Surgery,,Total,Provincial,2019,4,32,62,63,116
2018_q2,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2018,2,109,205,130,345
2019_q4,,Prostate Surgery,,Zone 3,Northside General,2019,4,,,22,48
2018_q4,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2018,4,18,65,31,90
2017_q4,,Bone / Cartilage Graft,,Zone 1,South Shore Regional,2017,4,52,114,118,141
2018_q2,,Gallbladder Surgery,,Total,Provincial,2018,2,42,154,55,178
2018_q3,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2018,3,126,245,43,114
12month_rolling,,Amputations,,Zone 3,New Waterford,2019,4,,,42,67
3month_rolling,,Ear Tubes  (Pediatric),,Total,Provincial,2019,4,54,171,41,145
2018_q1,,Bowel Resection - Open,,Total,Provincial,2018,1,16,85,27,83
2019_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2019,4,20,107,36,50
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Fung, Elaine",,,,,36,345,147,427
12month_rolling,Neurosurgery,Back Surgery  (Adult),"Alant, Jacob D",,,,,140,456,50,95
2019_q2,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2019,2,81,135,183,855
2019_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2019,1,53,307,28,54
2019_q1,,Cataract Surgery,,Zone 3,St. Marthas Regional,2019,1,97,188,107,211
3month_rolling,,Breast Reconstruction,,Total,Provincial,2019,4,93,320,53,464
12month_rolling,Orthopaedic,Hip Arthroscopy,"Legay, Douglas A",,,,,86,663,153,258
2019_q3,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2019,3,13,42,19,46
2018_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2018,3,65,455,132,269
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"Dyment, Heather",,,,,8,8,343,505
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Parish, Barbara M",,,,,108,223,56,149
2019_q1,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2019,1,216,348,83,362
2019_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2019,1,37,206,51,179
2018_q1,,Hernia Repair - Incisional,,Zone 4,QE2,2018,1,136,214,272,589
12month_rolling,Urology,Cystoscopy,"Puthenparumpil, Jacob",,,,,14,43,52,122
2018_q1,,Gallbladder Surgery,,Zone 3,Northside General,2018,1,25,185,33,162
2018_q2,,Prostate Surgery,,Zone 3,Northside General,2018,2,,,23,72
2018_q3,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2018,3,,,21,21
2018_q3,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2018,3,38,58,18,58
2019_q2,,Whipple Procedures,,Total,Provincial,2019,2,13,29,13,26
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Parish, Barbara M",,,,,77,139,35,63
12month_rolling,,Insertion Vascular Access Catheter,,IWK,IWK,2019,4,,,30,88
12month_rolling,,Prostate Surgery,,Zone 1,Valley Regional,2019,4,49,170,71,191
12month_rolling,Orthopaedic,Knee Scope,"Murphy, Nadia L",,,,,140,"1,141",106,303
2019_q3,,Hip Replacement,,Zone 2,Aberdeen Hospital,2019,3,57,356,93,270
2017_q4,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2017,4,27,55,48,121
12month_rolling,,Thymectomy,,Total,Provincial,2019,4,44,63,115,151
2019_q4,,Cataract Surgery,,Zone 1,Soldiers Memorial,2019,4,78,163,209,320
2018_q3,,Back Surgery  (Pediatric),,IWK,IWK,2018,3,,,150,259
2018_q4,,Bowel Resection,,Zone 3,St. Marthas Regional,2018,4,,,71,101
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"O'Sullivan, Colleen M",,,,,210,301,93,205
2018_q1,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2018,1,15,38,13,26
2018_q1,,Maxillofacial Deformity Surgery,,Zone 4,QE2,2018,1,104,229,149,520
12month_rolling,Oral and Maxillofacial,,,,,2019,4,,,71,310
2019_q4,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2019,4,74,252,74,290
2019_q2,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2019,2,,,106,130
2018_q3,,Strabismus Surgery  (Adult),,Zone 4,QE2,2018,3,266,"1,073",241,449
2018_q2,,Sacral Nerve Stimulation,,Zone 4,QE2,2018,2,,,163,568
2018_q1,,Pelvic Floor Repair,,IWK,IWK,2018,1,201,292,153,229
2019_q1,,Nerve Surgery,,Zone 4,QE2,2019,1,61,101,19,97
2018_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2018,4,45,100,45,76
2018_q1,,Hip Replacement,,Zone 2,Aberdeen Hospital,2018,1,106,386,216,553
2018_q2,,Shoulder Surgery,,Total,Provincial,2018,2,83,280,139,561
3month_rolling,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2019,4,19,133,38,93
2018_q2,,Breast Reduction Surgery,,Zone 4,QE2,2018,2,121,578,110,309
2018_q2,,Cataract Surgery,,Zone 1,Soldiers Memorial,2018,2,103,166,183,335
2019_q1,,Shoulder Arthroplasty,,Zone 4,QE2,2019,1,42,137,196,395
2019_q1,,Lymph Node Biopsy,,Zone 4,QE2,2019,1,7,9,25,48
12month_rolling,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2019,4,,,39,101
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Faryniuk, Andrea Marie",,,,,62,104,31,34
12month_rolling,,Male Reproductive System Surgery,,Total,Provincial,2019,4,52,193,76,241
3month_rolling,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2019,4,43,225,94,404
2017_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2017,4,52,141,129,246
2019_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2019,1,,,67,179
2019_q1,,Septoplasty,,Zone 3,Cape Breton Regional,2019,1,41,188,69,352
2018_q4,,Bowel Resection - Open,,Zone 1,South Shore Regional,2018,4,21,55,17,37
2019_q3,,Gastrointestinal Tract Surgery,,Total,Provincial,2019,3,33,134,43,146
12month_rolling,Urology,All,"Puthenparumpil, Jacob",,,,,17,83,52,130
2018_q2,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2018,2,,,21,62
2019_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2019,1,203,238,184,233
2018_q3,,Bladder Surgery,,Zone 3,Cape Breton Regional,2018,3,,,28,92
2017_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2017,4,102,116,85,140
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Adult),"Gregoire, Curtis",,,,,46,126,156,266
12month_rolling,General Surgery,Gallbladder Surgery,"Hyun, Eric",,,,,70,109,116,198
12month_rolling,Cardiac Surgery,Cardiovascular Surgery,"Baskett, Roger J",,,,,,,9,69
2018_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2018,3,57,203,86,134
2018_q3,,Strabismus Surgery  (Pediatric),,IWK,IWK,2018,3,111,432,106,152
2019_q3,,Spinal Cord Stimulation Surgery,,Total,Provincial,2019,3,,,177,213
12month_rolling,,Bowel Resection - Open,,Total,Provincial,2019,4,21,90,30,93
2019_q3,,Brain Surgery  (Adult),,Zone 4,QE2,2019,3,38,131,54,209
2018_q2,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2018,2,49,174,45,69
12month_rolling,General Surgery,Hernia Repair  (Adult),"Minor, Samuel",,,,,184,279,85,162
2019_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2019,2,78,378,251,375
2019_q3,,Tubal Ligation,,Total,Provincial,2019,3,49,152,62,132
12month_rolling,,Hernia Repair - Umbilical,,IWK,IWK,2019,4,22,57,107,176
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Minor, Samuel",,,,,178,237,115,169
2019_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Valley Regional,2019,4,,,80,150
2019_q2,,Brain Surgery  (Adult),,Total,Provincial,2019,2,31,128,36,178
2019_q1,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2019,1,,,24,101
2018_q4,,Carpal Tunnel Surgery,,Zone 4,Dartmouth General,2018,4,113,148,40,112
2019_q2,,Craniotomy or Craniectomy,,Zone 4,QE2,2019,2,,,53,230
12month_rolling,Cardiac Surgery,Cardiac Valve Replacement,"Ali, Idris M",,,,,,,22,68
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Houck, Leslie",,,,,34,42,47,166
12month_rolling,General Surgery,Breast Cancer Surgery,"Sharma, Chakshu",,,,,7,15,24,36
2018_q2,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2018,2,35,76,81,209
2018_q4,,Knee Scope,,Zone 1,Valley Regional,2018,4,353,576,100,276
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Hoogerboord, C Marius",,,,,22,247,26,63
2019_q1,,Bladder Surgery,,Total,Provincial,2019,1,14,43,34,105
2018_q4,,Gallbladder Surgery,,Zone 1,South Shore Regional,2018,4,33,118,24,50
12month_rolling,,Hand / Upper Extremity,,IWK,IWK,2019,4,,,189,345
2019_q3,,Cataract Surgery,,Zone 3,Glace Bay,2019,3,81,253,56,131
2018_q1,,Breast Cancer Surgery,,Zone 1,Valley Regional,2018,1,42,78,29,51
2019_q1,,Knee Replacement Revision,,Total,Provincial,2019,1,56,180,66,155
2018_q1,,Knee Replacement Revision,,Zone 4,QE2,2018,1,,,34,113
12month_rolling,Vascular Surgery,Endarterectomy,"Davidson, Dion",,,,,57,105,56,85
2019_q3,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2019,3,8,15,23,28
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2019,3,13,41,34,144
12month_rolling,Plastic Surgery,All,"Bendor-Samuel, Richard",,,,,310,"1,018",80,213
2017_q4,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,4,21,29,37,52
2018_q3,,Male Circumcision  (Adult),,Zone 3,Cape Breton Regional,2018,3,,,20,59
2017_q4,,Bowel Resection - Open,,Zone 2,Colchester East Hants Health Centre,2017,4,18,23,37,70
2018_q2,,Male Reproductive System Surgery,,Zone 3,Northside General,2018,2,85,87,,
3month_rolling,,Hernia Repair  (Adult),,Zone 3,Northside General,2019,4,111,173,43,164
2019_q2,,Prostate Surgery,,Zone 3,Cape Breton Regional,2019,2,14,33,44,147
3month_rolling,,Carotid Endarterectomy,,Total,Provincial,2019,4,,,19,24
2018_q3,,Knee Scope with ACL Repair,,Total,Provincial,2018,3,28,103,91,336
2019_q2,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2019,2,,,35,43
2018_q1,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2018,1,151,729,79,200
12month_rolling,,Male Reproductive System Surgery,,Zone 3,Inverness Consolidated Memorial,2019,4,41,91,25,62
2019_q1,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2019,1,21,110,30,485
2018_q2,,Ear Tubes  (Pediatric),,Zone 3,Northside General,2018,2,42,128,,
2018_q1,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2018,1,56,75,18,42
2018_q4,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2018,4,,,33,46
2019_q2,,Knee Replacement,,Zone 4,QE2,2019,2,40,97,176,835
12month_rolling,Urology,Prostate Surgery,"Lantz, Andrea",,,,,28,96,118,174
2018_q1,,Hysteroscopy,,Zone 1,Valley Regional,2018,1,54,199,43,127
2019_q3,,Bowel Resection,,Zone 1,South Shore Regional,2019,3,35,68,26,53
12month_rolling,Orthopaedic,Ankle - Arthroscopy,"Glazebrook, Mark A",,,,,175,244,534,594
2017_q4,,Cornea and External Disease,,Zone 4,QE2,2017,4,120,209,108,378
12month_rolling,Orthopaedic,Foot - Arthroplasty,"Morash, Joel",,,,,168,217,153,584
2018_q4,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2018,4,312,"3,244",54,75
2019_q4,,Knee Replacement,,Zone 4,QE2,2019,4,74,234,173,"1,056"
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Dyment, Heather",,,,,163,341,195,448
2018_q4,,Bowel Resection,,Zone 1,Valley Regional,2018,4,22,312,42,117
2018_q4,,Carpal Tunnel Surgery,,Zone 3,New Waterford,2018,4,72,186,25,164
12month_rolling,General Surgery,Bowel Resection,"Johnson, Kevin",,,,,18,28,27,41
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 1,Yarmouth Regional,2019,4,24,131,14,28
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Davis, Benjamin",,,,,169,294,186,457
2018_q2,,Foot - Bunionectomy,,Total,Provincial,2018,2,123,530,174,360
2018_q3,,Knee Replacement - Partial,,Total,Provincial,2018,3,273,542,190,443
2018_q3,,Septoplasty,,Zone 4,Dartmouth General,2018,3,83,243,119,386
2017_q4,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2017,4,30,182,36,92
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Enright, Jonathan Boyde",,,,,119,650,141,365
2018_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2018,2,20,49,31,44
2017_q4,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2017,4,36,155,84,295
2019_q4,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2019,4,30,91,21,29
2018_q1,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2018,1,21,44,12,30
2019_q2,,Cardiovascular Surgery,,Total,Provincial,2019,2,,,10,59
2019_q4,,Lymph Node Biopsy,,Total,Provincial,2019,4,17,41,10,59
2019_q2,,Shoulder Surgery,,Total,Provincial,2019,2,78,431,156,624
2019_q2,,Lung Cancer Surgery,,Total,Provincial,2019,2,21,37,43,86
2018_q2,,Hernia Repair - Umbilical,,Zone 4,QE2,2018,2,88,210,58,114
12month_rolling,Otolaryngology (ENT),Surgery for Hearing or Balance Problems of the Ear,"Wallace, Timothy D",,,,,131,330,37,116
3month_rolling,,Septoplasty,,Zone 4,QE2,2019,4,151,279,73,288
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Northside General,2019,3,,,79,148
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2019,4,,,40,87
12month_rolling,,Foot - Osteotomy,,Zone 4,QE2,2019,4,258,329,331,612
2018_q4,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2018,4,78,216,67,198
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Faryniuk, Andrea Marie",,,,,35,203,13,21
12month_rolling,General Surgery,Gastric Surgery - Laparoscopic,"Ellsmere, James C",,,,,129,546,26,50
12month_rolling,Urology,Male Circumcision  (Pediatric),"Asim, Hammad",,,,,93,225,57,106
2018_q3,,Tear Duct Surgery,,Zone 4,QE2,2018,3,153,511,,
2017_q4,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2017,4,40,233,15,54
2019_q2,,Foot - Arthrodesis,,Total,Provincial,2019,2,199,293,219,645
12month_rolling,General Surgery,Bowel Resection - Open,"Stoddart, Todd",,,,,14,58,26,57
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Cyr, Philip L",,,,,16,429,311,776
2018_q3,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2018,3,50,166,63,416
2018_q1,,Gallbladder Surgery,,Total,Provincial,2018,1,33,136,50,162
2019_q2,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2019,2,208,266,116,285
2019_q3,,Bowel Resection - Laparoscopic,,Total,Provincial,2019,3,25,110,30,74
2018_q3,,Brain Surgery  (Pediatric),,IWK,IWK,2018,3,,,8,51
12month_rolling,General Surgery,Breast Cancer Surgery,"Porter, Geoffrey A",,,,,14,21,14,42
